[0] 0:00	Heat.
[2530] 2:14:34	eclectic
[2531] 2:14:36	from eklesia.
[2532] 2:14:39	Okay.
[2533] 2:14:40	So an eclectic is basically a a
[2534] 2:14:44	gathering or a mix of things. Okay. So
[2535] 2:14:49	um usually unrelated things but but an
[2536] 2:14:52	eklesia is a gathering or assembly.
[2537] 2:14:56	So a government structure would not be a
[2538] 2:14:59	good translation of this. Um there is
[2539] 2:15:02	not a necessarily a fully formed
[2540] 2:15:05	structure to an eklesia.
[2541] 2:15:08	Um but there can be
[2542] 2:15:11	but it's not necessarily implied in the
[2543] 2:15:14	text.
[2544] 2:15:15	So I don't think that would be a great
[2545] 2:15:17	translation.
[2546] 2:15:19	Just saying. But church is fine because
[2547] 2:15:23	that's what it comes to mean in New
[2548] 2:15:25	Testament.
[2549] 2:15:26	um parliament
[2550] 2:15:29	um assembly fantastic
[2551] 2:15:32	um
[2552] 2:15:34	um gathering
[2553] 2:15:36	is a fine translation too. So
[2554] 2:15:40	so yeah it's that's that's how I would
[2555] 2:15:43	translate eklesia. Um and I think I
[2556] 2:15:46	think that's how most exites would treat
[2557] 2:15:49	this as well.
[2558] 2:15:52	Okay.
[2559] 2:15:55	So, I hope that helped. Thank you very
[2560] 2:15:56	much for the super chat.
[2561] 2:16:02	All right, followers of the Shepherd for
[2562] 2:16:03	$2. Thank you for the super chat.
[2563] 2:16:07	What's a video you want to make but
[2564] 2:16:09	won't do well?
[2565] 2:16:12	Strange question.
[2566] 2:16:14	Um,
[2567] 2:16:17	what video do you want do I want to make
[2568] 2:16:19	but won't do well?
[2569] 2:16:22	If I won't if I can't do it well, I
[2570] 2:16:25	probably won't make it.
[2571] 2:16:33	>> Apologetics videos. I don't like I don't
[2572] 2:16:36	want really want to do apologetics
[2573] 2:16:37	videos.
[2574] 2:16:39	>> I don't want to do them. So, it's
[2575] 2:16:41	doesn't count as a video I want to make.
[2576] 2:16:48	I I just I just have a lot of stuff I
[2577] 2:16:51	do. So, I don't think about the stuff I
[2578] 2:16:54	can't do.
[2579] 2:16:58	BC.
[2580] 2:17:00	Yeah. It's just like I Yeah. I I don't
[2581] 2:17:04	understand what you're asking that would
[2582] 2:17:07	apply
[2583] 2:17:09	>> like what would you like to do that
[2584] 2:17:15	falls under
[2585] 2:17:16	>> loop dog? Anything worth doing is worth
[2586] 2:17:18	doing poorly. GK Chesterton. exclamation
[2587] 2:17:22	uh question mark.
[2588] 2:17:24	>> I mean things
[2589] 2:17:26	like
[2590] 2:17:29	maybe
[2591] 2:17:40	Hey Stack, I want to see a strict
[2592] 2:17:42	documentary on on Abraham to Moses from
[2593] 2:17:45	you. I'm not a documentary maker. I'm a
[2594] 2:17:48	teacher. I'll leave the documentary m
[2595] 2:17:52	making to IP. He does that stuff really
[2596] 2:17:53	well. I I'm not a film log. I I I don't
[2597] 2:17:57	do cinematography very well. So for me
[2598] 2:18:01	making a long
[2599] 2:18:04	um
[2600] 2:18:09	Jackary, I wonder if he means a video
[2601] 2:18:11	that wouldn't do well in terms of views.
[2602] 2:18:14	But you know what? I don't I don't chase
[2603] 2:18:15	views. I do lots of videos that don't do
[2604] 2:18:18	well in terms of views.
[2605] 2:18:20	you know, the whole the whole series we
[2606] 2:18:22	did on um
[2607] 2:18:25	on the master class on epigraphy didn't
[2608] 2:18:30	do very well as far as views go, but I
[2609] 2:18:33	think it was important to do.
[2610] 2:18:36	And
[2611] 2:18:37	and um you know,
[2612] 2:18:42	there are times when we just do things
[2613] 2:18:44	because it's important as a teaching
[2614] 2:18:46	moment,
[2615] 2:18:48	you know.
[2616] 2:18:53	Yeah,
[2617] 2:18:53	>> we have very
[2618] 2:18:57	>> Yeah, we don't go for the lowest common
[2619] 2:18:58	denominator. You know, we tend to raise
[2620] 2:19:01	our sites to those say more aerudite
[2621] 2:19:05	viewers. You know, I love to say of our
[2622] 2:19:08	audience, our audience is is is
[2623] 2:19:11	intelligent, well read, and
[2624] 2:19:12	good-looking.
[2625] 2:19:19	[Laughter]
[2626] 2:19:22	What are you doing?
[2627] 2:19:25	>> Oh, mama says, "We really dug the
[2628] 2:19:26	epigraphy series." Well, I'm glad you
[2629] 2:19:28	did. I'm glad you did.
[2630] 2:19:31	>> No,
[2631] 2:19:32	>> but it didn't do well as far as views.
[2632] 2:19:38	>> Enjoyed our community.
[2633] 2:19:41	>> Yeah,
[2634] 2:19:41	>> it's
[2635] 2:19:43	>> Yeah.
[2636] 2:19:44	Yeah. He's probably he's probably asking
[2637] 2:19:46	what what do I want to make but won't do
[2638] 2:19:48	well as far as views go. So,
[2639] 2:19:52	you know, we're we're a niche channel
[2640] 2:19:53	anyway.
[2641] 2:19:56	We expect that a certain number of our
[2642] 2:19:58	videos won't do well because we're we're
[2643] 2:20:01	into serious teaching.
[2644] 2:20:03	>> We're evidence.
[2645] 2:20:04	>> Yeah, we're evidence-based. We don't
[2646] 2:20:06	chase views. We don't
[2647] 2:20:10	we don't claw at the moment.
[2648] 2:20:13	We don't basically come out. Oh, brand
[2649] 2:20:16	new discovery. Yeah, we haven't verified
[2650] 2:20:19	this, but we are going to talk about
[2651] 2:20:22	this curse amulet. And it's a great
[2652] 2:20:25	proof of of of of this dating.
[2653] 2:20:31	Mama goes, "You don't do clickbait?" No.
[2654] 2:20:35	No, I don't do clickbait.
[2655] 2:20:39	I let other people do clickbait.
[2656] 2:20:42	That's what you want to do. But I don't
[2657] 2:20:44	know.
[2658] 2:20:46	Dossman, we found something. It's
[2659] 2:20:48	shocking. It's a rock.
[2660] 2:20:56	Oh, mama says, "And we love you for it."
[2661] 2:20:59	Well, thank you. That's so sweet. We We
[2662] 2:21:01	appreciate that.
[2663] 2:21:02	>> No, we enjoy the
[2664] 2:21:04	>> Yeah. Yeah. We enjoy the community that
[2665] 2:21:07	has grown up around this channel and the
[2666] 2:21:09	community does support us and we
[2667] 2:21:12	wouldn't want to betray their trust by
[2668] 2:21:14	doing clickbait.
[2669] 2:21:16	Now, if there is something exciting and
[2670] 2:21:18	important, yeah, we're going to share
[2671] 2:21:19	it, but we're going to verify it first.
[2672] 2:21:23	We are absolutely going to verify it.
[2673] 2:21:33	CT316.
[2674] 2:21:34	No clickbait. How dare you have
[2675] 2:21:37	integrity and selfrespect?
[2676] 2:21:39	Oh boy. Yeah.
[2677] 2:21:43	Yeah. Some days it's hard to have
[2678] 2:21:44	dignity, integrity, and selfrespect.
[2679] 2:21:53	>> Okay, we'll take BC's question now for
[2680] 2:21:55	$5 Australian. Thank you for the super
[2681] 2:21:56	chat. Do you have a backup plan in case
[2682] 2:21:59	YouTube bans the channel for being too
[2683] 2:22:02	truthful? No, we don't.
[2684] 2:22:05	We do not have a backup plan for this.
[2685] 2:22:08	Um,
[2686] 2:22:11	>> but this was never part of the plan
[2687] 2:22:13	either. I mean, look, we we started this
[2688] 2:22:16	channel because I had time on my hands
[2689] 2:22:19	because of co that's why we started
[2690] 2:22:21	this. This was never intended to be our
[2691] 2:22:24	livelihood. I mean, we never thought it
[2692] 2:22:27	would make it that far,
[2693] 2:22:30	you know.
[2694] 2:22:32	Um, you know, so it's
[2695] 2:22:47	Gandalf is [ __ ] LDS.
[2696] 2:22:50	He's back. No,
[2697] 2:22:54	you see they have Oopsie. Ow.
[2698] 2:22:58	Stop that.
[2699] 2:23:05	Yeah, that's that's
[2700] 2:23:15	you. See, even the LDS doesn't want me.
[2701] 2:23:21	[Laughter]
[2702] 2:23:25	Ah, good times. Good times. The Mormons
[2703] 2:23:28	don't want me.
[2704] 2:23:36	All righty.
[2705] 2:23:38	Move on the next one here.
[2706] 2:24:02	Uh, hey stack. Did prophets ever lose
[2707] 2:24:04	their temper? Yes.
[2708] 2:24:07	Yes, they did. And sometimes they were
[2709] 2:24:10	even judged for it. Moses lost his
[2710] 2:24:12	temper
[2711] 2:24:14	uh when he hit the rock
[2712] 2:24:19	and he was judged for it because he
[2713] 2:24:20	misrepresented God to the people. So
[2714] 2:24:23	yes, prophets did lose their temper
[2715] 2:24:27	and not always in a good way. It was not
[2716] 2:24:29	always a good thing. Now, there were
[2717] 2:24:32	some that lost it for righteous reasons.
[2718] 2:24:36	Um you did get guys like um Elijah who
[2719] 2:24:41	lost their temper but did so in a
[2720] 2:24:43	righteous way. But there was also those
[2721] 2:24:46	who lost their temper in unrighteous
[2722] 2:24:47	ways. So yes, prophets did lose their
[2723] 2:24:50	temper sometimes.
[2724] 2:24:53	Not always a good thing.
[2725] 2:25:01	All right, we got this very generous uh
[2726] 2:25:03	super chat here from Ike the Great for
[2727] 2:25:05	$99.99.
[2728] 2:25:06	Thank you very much for that really
[2729] 2:25:08	generous super chat. It really helps
[2730] 2:25:10	keeps things going. We really appreciate
[2731] 2:25:13	donors like you who support the channel.
[2732] 2:25:16	Okay, he asks, "Is there a practical
[2733] 2:25:19	difference between using a dictionary
[2734] 2:25:22	versus a lexicon for Bible study?" Yes,
[2735] 2:25:26	there is a there is a technical
[2736] 2:25:28	difference between a a dictionary and a
[2737] 2:25:31	lexicon.
[2738] 2:25:33	Now, that difference is
[2739] 2:25:36	that a dictionary just gives you the
[2740] 2:25:39	word and the meaning.
[2741] 2:25:42	Lexicons
[2742] 2:25:44	tend to give you root words. So not
[2743] 2:25:47	complete words but
[2744] 2:25:51	basically the root of a word and then if
[2745] 2:25:54	it has a further conjugation you have to
[2746] 2:25:56	figure that out on your own. But
[2747] 2:25:59	lexicons also serve other purposes too.
[2748] 2:26:01	They'll often give you historical data.
[2749] 2:26:04	They'll give you related words. They
[2750] 2:26:07	give you a lot more
[2751] 2:26:10	information than just a dictionary
[2752] 2:26:12	would. Like for example, a dictionary
[2753] 2:26:15	will generally be restricted to just
[2754] 2:26:17	word and meaning. Whereas a lexicon
[2755] 2:26:20	tends to be will give you a lot like
[2756] 2:26:23	cognate words in other languages. Like
[2757] 2:26:24	for example, the uh Hebrew and Aramaic
[2758] 2:26:27	lexicon of the Old Testament will give
[2759] 2:26:30	you not just historical the lexim but
[2760] 2:26:33	the historical information
[2761] 2:26:36	and also other cognates in other
[2762] 2:26:39	languages.
[2763] 2:26:42	So alexicon has is a tool that's more
[2764] 2:26:47	more diverse.
[2765] 2:26:50	A lexicon expects you to already know
[2766] 2:26:52	the language. Dictionaries don't
[2767] 2:26:54	necessarily expect you to know the
[2768] 2:26:56	language. For example, if you have a
[2769] 2:26:58	foreign language dictionary, those
[2770] 2:27:01	dictionaries often don't expect you to
[2771] 2:27:03	know the language or think you're in a
[2772] 2:27:04	beginner stage of the language. Lexicons
[2773] 2:27:07	are for advanced study.
[2774] 2:27:11	So most lexicons will expect you to know
[2775] 2:27:13	Hebrew or Greek uh for Bible study
[2776] 2:27:16	purposes.
[2777] 2:27:18	So
[2778] 2:27:20	there are technical differences between
[2779] 2:27:23	a dictionary and a lexicon.
[2780] 2:27:26	For most Bible studies, it's usually
[2781] 2:27:28	recommended that you use a lexicon
[2782] 2:27:31	instead of a dictionary.
[2783] 2:27:34	So
[2784] 2:27:42	Dark Blade goes, "So, wictionary is more
[2785] 2:27:44	of a lexicon when it act when it's
[2786] 2:27:46	actually useful. Is that right?" I can't
[2787] 2:27:49	say. I don't use wictionary,
[2788] 2:27:58	but I will say this. Um,
[2789] 2:28:02	a dictionary is a word that has
[2790] 2:28:04	basically a book that has diction in it
[2791] 2:28:07	or fully formed words. That's the key
[2792] 2:28:10	difference. A dictionary has fully
[2793] 2:28:12	formed words and it's kind of in the
[2794] 2:28:14	name dictionary.
[2795] 2:28:17	A lexon a lexicon has lexims in it which
[2796] 2:28:21	are root words.
[2797] 2:28:24	So, you're expected in a lexicon to
[2798] 2:28:27	understand the root word,
[2799] 2:28:31	which can be difficult sometimes in
[2800] 2:28:33	languages like Hebrew where the root
[2801] 2:28:34	word isn't always apparent from the form
[2802] 2:28:37	you're trying to look up.
[2803] 2:28:40	So, it can be more challenging to use a
[2804] 2:28:42	lexicon.
[2805] 2:28:45	So, but that's that's the major
[2806] 2:28:46	difference. Dictionaries have lists of
[2807] 2:28:49	diction. Lexicons have lists of lexims.
[2808] 2:28:56	So that's the major difference.
[2809] 2:28:59	Lexicons are serious Bible tools.
[2810] 2:29:02	Dictionaries less so. So I hope that
[2811] 2:29:06	helps. Thank you very much for that very
[2812] 2:29:08	very generous super chat. We really
[2813] 2:29:10	appreciate it and I hope that helped.
[2814] 2:29:33	Dark Blade asks a vampire question.
[2815] 2:29:35	Who's a vampire knight? He says, "Would
[2816] 2:29:38	the OG vampires consider modern sigh
[2817] 2:29:41	vampires to be legit?" No. No, they
[2818] 2:29:44	wouldn't.
[2819] 2:29:49	It's like It's like talking about a
[2820] 2:29:51	vegan vampire.
[2821] 2:30:00	Oh, chupacabra. Gota take that one. Uh,
[2822] 2:30:03	but yeah. Um, no. Old-fashioned to be to
[2823] 2:30:07	be honest. The OG vampires. You're
[2824] 2:30:11	basically talking about a short, ruddy
[2825] 2:30:13	Hungarian.
[2826] 2:30:16	That's your OG vampire. Not this guy
[2827] 2:30:19	elegantly clad in black and and wearing
[2828] 2:30:24	these spectacles and a top hat. No, no,
[2829] 2:30:26	that's not your OG vampire. Your OG
[2830] 2:30:28	vampire is a ruddy, short Hungarian
[2831] 2:30:31	peasant wearing dungarees.
[2832] 2:30:34	That's your OG vampire.
[2833] 2:30:41	At least that's the one that was uh that
[2834] 2:30:44	Calme used to write about.
[2835] 2:30:48	So,
[2836] 2:30:53	Carrie Stark asks, "Is the Chupacabra
[2837] 2:30:56	real?"
[2838] 2:30:58	Okay, for those of you who don't know
[2839] 2:31:01	this, the Chupacabra
[2840] 2:31:03	is what's called the goat sucker. Okay,
[2841] 2:31:08	it's the idea of this supernatural
[2842] 2:31:11	being that basically
[2843] 2:31:14	is a goat vampire.
[2844] 2:31:18	for lack of a better term, it's a goat
[2845] 2:31:21	vampire. It attacks goats.
[2846] 2:31:24	Um, it sucks the blood out of them
[2847] 2:31:27	supposedly.
[2848] 2:31:30	Now, do I think chupacabas are real? No.
[2849] 2:31:33	But what I think people are seeing are
[2850] 2:31:35	coyotes with mange. That's what I think
[2851] 2:31:37	people are seeing.
[2852] 2:31:39	So,
[2853] 2:31:41	so that's what I think a chupacabra is
[2854] 2:31:43	is a coyote with mange. Uh sightings of
[2855] 2:31:46	chupacabra are restricted to essentially
[2856] 2:31:50	uh the American Southwest. So most
[2857] 2:31:53	sightings are happening in places like
[2858] 2:31:56	Arizona, New Mexico,
[2859] 2:31:59	uh some limited sightings in California,
[2860] 2:32:02	Mexico,
[2861] 2:32:04	it was those regions. So
[2862] 2:32:14	Dustin Meeks, so the vampire who is
[2863] 2:32:16	well-dressed and wears a hat ain't
[2864] 2:32:18	nothing like an old G vampire, the more
[2865] 2:32:20	you know. Oh yeah. Oh yeah. when when
[2866] 2:32:22	guys like Calme Dom Calme talk about
[2867] 2:32:25	vampires and he he did the first major
[2868] 2:32:27	study of vampires,
[2869] 2:32:30	you know, he's not talking about about
[2870] 2:32:33	count some some some European count who
[2871] 2:32:37	owns a castle. Oh, no, no. He's talking
[2872] 2:32:40	about
[2873] 2:32:42	guys
[2874] 2:32:44	who were Hungarian AustroHungarian
[2875] 2:32:47	peasants
[2876] 2:32:49	and and K was was was commissioned
[2877] 2:32:53	to do this study
[2878] 2:32:56	by um Catherine
[2879] 2:32:59	um the empress the empress Katherine of
[2880] 2:33:02	the Austrohungarian Empire commissioned
[2881] 2:33:04	him to do this study on vampireism
[2882] 2:33:08	because there
[2883] 2:33:10	a lot of reports of vampireism in the
[2884] 2:33:12	AustroHungarian Empire
[2885] 2:33:15	and he basically described them as these
[2886] 2:33:18	these ruddy short Hungarian peasants.
[2887] 2:33:23	Yeah. Not sexy at all.
[2888] 2:33:31	Okay.
[2889] 2:33:37	Uh, CT316
[2890] 2:33:39	asked the question, "Wanting to write
[2891] 2:33:41	fiction myself, what kind of pro style
[2892] 2:33:43	do you believe works best? I'm learning
[2893] 2:33:46	leaning towards centeresque, clean,
[2894] 2:33:48	straightforward style that is easy on in
[2895] 2:33:50	the eyes and mind." Um,
[2896] 2:33:54	what kind of fiction do you read?
[2897] 2:33:57	I mean, if you read Sanderson stuff,
[2898] 2:33:59	then you should probably write in that
[2899] 2:34:02	style. I mean, I my reading preferences
[2900] 2:34:06	tend to lean towards
[2901] 2:34:09	um new wave science fiction. So, for me,
[2902] 2:34:11	that's the sort of stuff I write is
[2903] 2:34:13	stuff in the style of uh of new wave
[2904] 2:34:16	science fiction. So, I tend to read
[2905] 2:34:18	authors like James Bush, Clifford Cmac,
[2906] 2:34:23	um Robert Silverberg, you know, those
[2907] 2:34:26	sorts of of of sort of authors of that
[2908] 2:34:29	that era. And for me, I like I like
[2909] 2:34:34	really tur concise writing. So for me,
[2910] 2:34:37	I'm a big fan of say Ernest Hemingway,
[2911] 2:34:40	his writing style.
[2912] 2:34:42	So
[2913] 2:34:44	whatever style works best for you is
[2914] 2:34:47	what you should do. But at the same time
[2915] 2:34:50	too, what I would recommend any writer
[2916] 2:34:52	getting into fiction is work on
[2917] 2:34:54	yourself.
[2918] 2:34:55	The first novels you write should be
[2919] 2:34:59	just
[2920] 2:35:00	picked up and dropped into the round
[2921] 2:35:04	file. Okay? And I would recommend this
[2922] 2:35:08	for your first four or five novels.
[2923] 2:35:12	Throw away your first four or five
[2924] 2:35:14	novels. They're not for publication.
[2925] 2:35:16	They're not for public consumption.
[2926] 2:35:18	They're for working on your process as a
[2927] 2:35:21	writer. Writers hate hearing that. They
[2928] 2:35:24	all think that their first writer book
[2929] 2:35:26	is gonna be a number one bestseller.
[2930] 2:35:30	Might be. The odds are super low though.
[2931] 2:35:39	>> Yeah.
[2932] 2:35:45	>> Yeah.
[2933] 2:35:49	>> Yeah. If you My producer makes a very
[2934] 2:35:52	very good point. If you do write a novel
[2935] 2:35:55	and a early novel,
[2936] 2:35:57	uh,
[2937] 2:35:59	get good beta readers. I would recommend
[2938] 2:36:01	everyone get good beta readers.
[2939] 2:36:03	Regardless of if you're a a a beginning
[2940] 2:36:06	raw novel or a professional, you need
[2941] 2:36:09	good beta readers. Ones that'll tell you
[2942] 2:36:11	the honest truth,
[2943] 2:36:13	okay? Ones that are really, really
[2944] 2:36:19	so honest with you it hurts.
[2945] 2:36:23	A good editorial critique
[2946] 2:36:26	should be very very precise.
[2947] 2:36:34	Now you will get beta readers who
[2948] 2:36:36	basically say will want your story to be
[2949] 2:36:39	something more to their tastes.
[2950] 2:36:42	You don't need those beta readers.
[2951] 2:36:43	Basically the sort of beta readers that
[2952] 2:36:46	say oh your science fiction is great but
[2953] 2:36:48	it needs more cats with lasers.
[2954] 2:36:51	Okay, you may not be writing a story
[2955] 2:36:53	about cats with lasers. So,
[2956] 2:36:56	you know, you don't need beta readers
[2957] 2:36:59	that that are going to sort of try to
[2958] 2:37:02	change your writing to something they
[2959] 2:37:03	like. What you need is the ones that see
[2960] 2:37:06	your story for what it is and basically
[2961] 2:37:08	say, "Yeah, this is not right. This
[2962] 2:37:11	isn't good.
[2963] 2:37:13	This is a this is a silly trope. You
[2964] 2:37:15	shouldn't use it."
[2965] 2:37:17	um ones that'll give you honest feedback
[2966] 2:37:20	about the quality of your writing and
[2967] 2:37:22	the quality of your story. That's what
[2968] 2:37:24	you need. And then listen to them.
[2969] 2:37:29	I have had so many I' I've had to I have
[2970] 2:37:32	done critiques of
[2971] 2:37:35	of guys
[2972] 2:37:38	who basically said, "Oh, yeah, yeah,
[2973] 2:37:40	it's been through beta readers and I get
[2974] 2:37:43	the book and it looks like it's never
[2975] 2:37:44	been edited.
[2976] 2:37:48	you know, and it just
[2977] 2:37:50	it's like I feel like my time has been
[2978] 2:37:52	wasted. You know, somebody has I mean,
[2979] 2:37:55	you know, like, oh yeah, yeah, this has
[2980] 2:37:57	been beta readed. Yeah. And and do you
[2981] 2:37:59	follow the advice? Oh, yeah, sure. Did I
[2982] 2:38:02	can only think that either they didn't
[2983] 2:38:04	listen to the beta readers or the beta
[2984] 2:38:07	readers were just blowing them sunshine,
[2985] 2:38:11	you know?
[2986] 2:38:14	It just it's it's really frustrating
[2987] 2:38:16	because it's a huge waste of time to
[2988] 2:38:19	give a reviewer a book that hasn't been
[2989] 2:38:23	ra beta read.
[2990] 2:38:30	Says Milo says that is so oddly specific
[2991] 2:38:33	info about vampires. Yeah, well
[2992] 2:38:38	we know a lot about vampires.
[2993] 2:38:45	Okay.
[2994] 2:38:51	Uh, Lenus Odell says, "What is the
[2995] 2:38:53	reason for academics generally claim the
[2996] 2:38:55	Israelites came from the Phoenetians? Is
[2997] 2:38:57	it just empty conjecture?" Uh, if
[2998] 2:39:00	they're saying that, they're probably
[2999] 2:39:01	not a well educated either. uh the
[3000] 2:39:04	Phoenician civilization came about in
[3001] 2:39:06	1000 BC
[3002] 2:39:08	and it was an ex it was a sort of an
[3003] 2:39:11	integration between
[3004] 2:39:13	um sea peoples moving down the first
[3005] 2:39:15	wave of sea peoples
[3006] 2:39:18	uh with the local population of
[3007] 2:39:20	Canaanites
[3008] 2:39:22	and
[3009] 2:39:24	uh they sort of established themselves
[3010] 2:39:27	I'd say in that 1300 BC to 1,000 BC time
[3011] 2:39:32	frame
[3012] 2:39:33	So um
[3013] 2:39:36	so the idea that they came from that I
[3014] 2:39:39	think is is is empty conjecture. I don't
[3015] 2:39:42	think there's any reason caused for
[3016] 2:39:43	that. So
[3017] 2:39:45	certainly not evidence-based.
[3018] 2:39:51	Hey stack. What's up with Skinwalker
[3019] 2:39:54	Ranch? Okay. Um,
[3020] 2:39:58	Skinwalker Ranch is a well-known
[3021] 2:40:00	paranormal site. Now,
[3022] 2:40:04	contrary to what the name suggests,
[3023] 2:40:09	Skinwalker Ranch is not actually known
[3024] 2:40:10	for skinwalkers.
[3025] 2:40:14	Now, for those of you who don't know
[3026] 2:40:16	what a skinw walker is, a skinwalker is
[3027] 2:40:19	a
[3028] 2:40:21	is a Native American shaman that shape
[3029] 2:40:24	changes into these animallike
[3030] 2:40:26	monstrosities.
[3031] 2:40:28	So, that's a skinw walker.
[3032] 2:40:31	What skiner ranch is really known for is
[3033] 2:40:35	stuff like time distortions
[3034] 2:40:38	and um ball lightning.
[3035] 2:40:42	So
[3036] 2:40:44	that's what Skinwalker Ranch is really
[3037] 2:40:46	known for. It's not really known for
[3038] 2:40:47	skinwalkers. It's known for other
[3039] 2:40:49	things. It's just called Skinwalker
[3040] 2:40:51	Ranch.
[3041] 2:40:57	So
[3042] 2:40:59	um now there are there are people who
[3043] 2:41:01	have claimed to seen skinwalkers and um
[3044] 2:41:06	there might be something to that
[3045] 2:41:07	phenomenon
[3046] 2:41:09	but it's not occurring at skinwalker
[3047] 2:41:11	ranch. Other things are happening at
[3048] 2:41:12	skinwalker. As I said time space
[3049] 2:41:14	distortions is what's been claimed as
[3050] 2:41:16	well as ball lightning. So hope that
[3051] 2:41:19	helps. Thank you for the question.
[3052] 2:41:29	blade. Time to excate Dr. Faulk for
[3053] 2:41:32	linking linking my home state with
[3054] 2:41:34	cryptozoolology.
[3055] 2:41:37	Well,
[3056] 2:41:42	BC doortodoor missionaries always ask to
[3057] 2:41:45	come in. Are they vampires?
[3058] 2:41:47	Sometimes they can be time vampires.
[3059] 2:41:51	have had those.
[3060] 2:41:53	Uh,
[3061] 2:41:55	generally the whole invitation thing is
[3062] 2:41:58	kind of not really seen in in really old
[3063] 2:42:02	vampire literature. That's something
[3064] 2:42:04	that's more modern.
[3065] 2:42:07	Okay, next question here from Harry
[3066] 2:42:09	Stark. Will David ever run for office?
[3067] 2:42:12	No.
[3068] 2:42:14	Running for office is a pain in the
[3069] 2:42:16	butt. I won't do it.
[3070] 2:42:20	Yeah, I don't like French either. Uh, I'
[3071] 2:42:23	I'd have to for me to run federally, I'd
[3072] 2:42:26	almost have to learn French and be
[3073] 2:42:28	conversant in it.
[3074] 2:42:33	Um, my French is pretty terrible. So, it
[3075] 2:42:36	would take me a lot lot of effort to to
[3076] 2:42:40	be to do that. So, no, I'm not I'm not
[3077] 2:42:42	going to be doing that for I'm not going
[3078] 2:42:44	to go into politics. That's just a That
[3079] 2:42:46	would be just a pain and obnoxious
[3080] 2:42:49	and a distraction from what I want to
[3081] 2:42:51	do.
[3082] 2:43:02	All right, next one here.
[3083] 2:43:08	Gabrian says, "Is isn't there a line
[3084] 2:43:11	scripture that says all souls were
[3085] 2:43:12	created in the beginning?" non-Christian
[3086] 2:43:14	scriptures. There isn't.
[3087] 2:43:16	Nope. It's not something you find in
[3088] 2:43:17	Christian scriptures. Um,
[3089] 2:43:23	yeah, that's there's no no single
[3090] 2:43:25	indication in Christian scriptures.
[3091] 2:43:28	You'll find that in Mormon scriptures.
[3092] 2:43:30	You won't find that in Christian
[3093] 2:43:32	scriptures. So, yeah, that's not
[3094] 2:43:34	something you find in Christian
[3095] 2:43:37	um anthropology. So, hope that helps.
[3096] 2:43:41	Thank you for the question.
[3097] 2:44:02	Okay, let's see.
[3098] 2:44:09	Harry Stark, which are the favorite
[3099] 2:44:11	familyfriendly games that David has
[3100] 2:44:13	played?
[3101] 2:44:15	I don't play a lot of familyfriendly. Is
[3102] 2:44:17	Fallout a friend familyfriendly game?
[3103] 2:44:23	How about Skyrim?
[3104] 2:44:29	The Long Dark.
[3105] 2:44:34	All of them three Exodus. Yep. That's
[3106] 2:44:36	probably the closest thing I played to a
[3107] 2:44:39	familyfriendly video game.
[3108] 2:44:46	Yeah. Um,
[3109] 2:44:50	Gand the base, have you played Mass
[3110] 2:44:51	Effect since you like Witch Worlds? Yes,
[3111] 2:44:54	I have played Mass Effect. I haven't
[3112] 2:44:57	replayed Mass Effect. I don't terribly
[3113] 2:44:58	like uh the Mass Effect universe so
[3114] 2:45:01	much.
[3115] 2:45:02	DS Ultimate 7 is so familyfriendly. Oh,
[3116] 2:45:06	yeah. So family friendly. Uhhuh.
[3117] 2:45:16	says, "Mo says, "You played Fallout and
[3118] 2:45:20	never streamed it." Yeah, I'm not I
[3119] 2:45:22	don't do a lot of video game streaming.
[3120] 2:45:24	I'm just not into that.
[3121] 2:45:26	>> I mean,
[3122] 2:45:28	>> yeah, I know my friends are into me
[3123] 2:45:30	streaming video games,
[3124] 2:45:33	but
[3125] 2:45:35	>> most people don't.
[3126] 2:45:41	Yeah, they did get a they they they did
[3127] 2:45:43	get a kick out of me streaming uh
[3128] 2:45:46	uh oh origins. Uh it was Assassin's
[3129] 2:45:50	Creed Origins.
[3130] 2:45:59	John FC says Resident Evil. That's a
[3131] 2:46:02	nice family game. I have played that. I
[3132] 2:46:04	have played Resident Evil. I don't play
[3133] 2:46:06	it anymore, but I have played it.
[3134] 2:46:12	Uh, Dustin Meeks, what about
[3135] 2:46:13	Egyptianbased video games? Yeah, I mean,
[3136] 2:46:15	we might do that again, but again,
[3137] 2:46:17	someone has to sponsor that. So,
[3138] 2:46:21	and it does take a lot of time.
[3139] 2:46:27	Again, thank you to AT Ministries, who
[3140] 2:46:29	was basically the sponsor of the
[3141] 2:46:31	Assassin's Creed Origins playthrough.
[3142] 2:46:33	So, that was a fully sponsored thing and
[3143] 2:46:35	that's that's cool and we'll do that
[3144] 2:46:38	sometimes. But, um,
[3145] 2:46:45	uh, CT316, you played Mass Effect. Which
[3146] 2:46:47	did you pick? Control, destroy, or
[3147] 2:46:51	synthesis. This will determine my
[3148] 2:46:52	continuence or lack thereof for your
[3149] 2:46:54	channel. I don't remember. I don't
[3150] 2:46:56	remember which I picked. I mean, it was
[3151] 2:46:58	so long ago when I played it.
[3152] 2:47:03	I think I played it about 10 years ago,
[3153] 2:47:06	something like that.
[3154] 2:47:12	Okay, next one here. So, no, I'm not
[3155] 2:47:15	really into familyfriendly games all
[3156] 2:47:17	that much.
[3157] 2:47:25	I guess it depends on what kind of
[3158] 2:47:26	family
[3159] 2:47:28	they come from.
