[0] 0:22	Oh,
[2229] 1:54:50	boine deities, that's just the big the
[2230] 1:54:53	big the bigname ones, the ones that we
[2231] 1:54:55	absolutely sure are boine deities, but
[2232] 1:54:58	there's a lot more than that in all
[2233] 1:55:00	likelihood. So,
[2234] 1:55:03	but the reason why they chose the boine
[2235] 1:55:07	was because Aaron needed to
[2236] 1:55:12	reincarnate
[2237] 1:55:15	Yahweh. Basically, bring him back from
[2238] 1:55:19	the dead.
[2239] 1:55:21	Okay.
[2240] 1:55:23	So there isn't there isn't a lot of of
[2241] 1:55:28	deities that you can bring back from the
[2242] 1:55:31	dead in in a meaningful way. Okay.
[2243] 1:55:35	Um it there's there's there's very few
[2244] 1:55:39	deities where say even in Egyptian
[2245] 1:55:43	culture where
[2246] 1:55:45	he's dead and he's back in the land of
[2247] 1:55:48	living. Okay. Osiris doesn't fit here.
[2248] 1:55:52	Okay.
[2249] 1:55:54	Um, deities die. Yeah, in ancient Egypt
[2250] 1:55:57	they do. Osiris is dead.
[2251] 1:56:02	>> They can starve to death. They can get
[2252] 1:56:03	old and scenile.
[2253] 1:56:07	Yeah. They can be ignored to death.
[2254] 1:56:08	Yeah.
[2255] 1:56:10	So, yeah, deities do die.
[2256] 1:56:14	Uh but um in say
[2257] 1:56:21	um in Sinai what you need what what
[2258] 1:56:24	Aaron needed was a way to bring Yahweh
[2259] 1:56:28	back to life.
[2260] 1:56:30	Wouldn't work with Osiris. Osiris is
[2261] 1:56:32	dead.
[2262] 1:56:34	Osiris remained dead. One of the things
[2263] 1:56:37	that people, modern skeptics don't
[2264] 1:56:39	understand about Osiris is Osiris died
[2265] 1:56:42	and he remained dead. He just became the
[2266] 1:56:45	god of the underworld. The god of the
[2267] 1:56:48	dead.
[2268] 1:56:50	Okay? Ruler of the underworld. Okay? But
[2269] 1:56:53	he's still dead. Dead. Dead. Dead. Dead.
[2270] 1:56:58	Okay.
[2271] 1:57:00	So
[2272] 1:57:02	um in so Aaron couldn't use Osiris for
[2273] 1:57:07	this because Osiris just was another
[2274] 1:57:10	dead deity.
[2275] 1:57:12	He had to use a particular deity where
[2276] 1:57:15	say Yahweh got to be reborn is a living
[2277] 1:57:20	idol. Okay. Hence the son of Hat. It's
[2278] 1:57:25	really the only myth where in in
[2279] 1:57:28	Egyptian myth that does this.
[2280] 1:57:32	So,
[2281] 1:57:34	so that's that's one of those things
[2282] 1:57:37	that I think it wasn't just that it was
[2283] 1:57:40	a cow deity, even though everyone would
[2284] 1:57:41	have um recognized cow deities who were
[2285] 1:57:46	among the Israelites because it's an
[2286] 1:57:47	aggra agarian culture, but
[2287] 1:57:51	um
[2288] 1:57:53	but in this particular case,
[2289] 1:57:56	he needed this particular legend
[2290] 1:58:00	to get Yahweh
[2291] 1:58:02	out of the minds of of the Israelites as
[2292] 1:58:05	being dead. So, so I think that there
[2293] 1:58:09	was there was a really strong
[2294] 1:58:11	methodological reason why Aaron chose
[2295] 1:58:14	what he did.
[2296] 1:58:16	Okay. Mama says, "Our family's turning
[2297] 1:58:18	in early this week. Grace and peace to
[2298] 1:58:20	all and folks, smash the like button."
[2299] 1:58:22	Good night, Mama. It was good to have
[2300] 1:58:23	you here. Glad you could join us. Um,
[2301] 1:58:27	thank you very much. Uh you might oh one
[2302] 1:58:30	thing you might want to check um the um
[2303] 1:58:34	Discord
[2304] 1:58:35	um the latest uh version of um uh Lord
[2305] 1:58:42	of Steel and Sky. She's not she's not a
[2306] 1:58:45	she's not a uh beta tester.
[2307] 1:58:49	Uh Milo's uh and Milo uh there's also
[2308] 1:58:53	the latest version of Egg Hunter 2
[2309] 1:58:55	that's been posted. Okay. So, uh there's
[2310] 1:58:59	some stuff on the Discord. So, anyway,
[2311] 1:59:01	glad you could join us. Thank you so
[2312] 1:59:03	much for joining us and we hope you have
[2313] 1:59:05	a blessed night.
[2314] 1:59:15	Ah, okay. Dark Blade. Why is the
[2315] 1:59:18	benediction for the blessed dead Maharu
[2316] 1:59:20	used for the god Ray and Aman Hotep the
[2317] 1:59:24	Force Prome? Okay. Um
[2318] 1:59:29	I would have to look Aminat IV. Let me
[2319] 1:59:32	just take a look at
[2320] 1:59:35	um
[2321] 1:59:38	to let me just pull up his prey nomomen
[2322] 1:59:40	here and just take a look then I might
[2323] 1:59:43	be able to answer that but I can't do
[2324] 1:59:45	that without the text in front of me. So
[2325] 1:59:48	look at Beckath here books
[2326] 1:59:54	Egypt
[2327] 1:59:57	and I need to look at Beckarath
[2328] 2:00:01	uh
[2329] 2:00:02	Beckarath Kignomen has the list of all
[2330] 2:00:06	the um royal names. So it's the it's the
[2331] 2:00:11	go-to source for this.
[2332] 2:00:14	Takes a moment to fire this up. and
[2333] 2:00:16	Ominum hot the fourth.
[2334] 2:00:19	Roll all the way to mill kingdom here.
[2335] 2:00:20	Where are we here? Dynasty five. I need
[2336] 2:00:24	in dynasty
[2337] 2:00:26	12.
[2338] 2:00:28	That's 14
[2339] 2:00:31	18
[2340] 2:00:39	12. All right. And I need
[2341] 2:00:48	most of the first.
[2342] 2:00:51	Okay. Where is that? Why am I not having
[2343] 2:00:54	it?
[2344] 2:01:01	It's 13.
[2345] 2:01:04	Why am I not finding I'm going to hunt
[2346] 2:01:06	the fourth
[2347] 2:01:09	me? Monet
[2348] 2:01:13	the hotep.
[2349] 2:01:24	It's not listed.
[2350] 2:01:29	Maybe I can find it elsewhere.
[2351] 2:01:33	Right. He's not in Beckarath. Odd. He's
[2352] 2:01:35	not Beckath. Got some lacuna there.
[2353] 2:01:40	All right, let me see if I can find it
[2354] 2:01:41	elsewhere. Ominum hot the fourth. Um
[2355] 2:01:48	fourth. You can find a carto.
[2356] 2:02:02	Uh okay.
[2357] 2:02:08	Uh ma
[2358] 2:02:13	ray.
[2359] 2:02:15	Okay.
[2360] 2:02:17	Ray is true of voice.
[2361] 2:02:20	All right. Now I know what's going on.
[2362] 2:02:24	Okay. So it reads Mauru
[2363] 2:02:28	uh Ray.
[2364] 2:02:30	Okay. Uh Ray is in um what's it called
[2365] 2:02:33	now? um
[2366] 2:02:38	uh
[2367] 2:02:40	is in the uh honoric transposition
[2368] 2:02:43	position.
[2369] 2:02:45	So
[2370] 2:02:47	what does maharu mean? Okay, it means
[2371] 2:02:49	true of voice, speaks truly. Okay. Now,
[2372] 2:02:53	the reason this is used as blessed dead
[2373] 2:02:56	is because it's it's sometimes
[2374] 2:02:59	um
[2375] 2:03:02	maharu literally means true of voice.
[2376] 2:03:07	The idea here is that dead people can't
[2377] 2:03:11	lie.
[2378] 2:03:13	Okay? Dead people only say the truth. A
[2379] 2:03:17	dead spirit won't lie to you. This is an
[2380] 2:03:19	an Egyptian belief. So if you're dead,
[2381] 2:03:24	you can only speak the truth now.
[2382] 2:03:27	So
[2383] 2:03:30	now there's at that point when it says
[2384] 2:03:34	raw
[2385] 2:03:35	ma maharu
[2386] 2:03:38	raw is true of voice. Raw speaks the
[2387] 2:03:41	truth. So it's not it's does not
[2388] 2:03:45	necessarily mean in every case blessed
[2389] 2:03:48	dead. It really means tells the truth.
[2390] 2:03:53	Okay. So true of voice, true of speech.
[2391] 2:03:58	So, so in the case here of Rah using the
[2392] 2:04:03	maharu in say the premen of Aminat IV,
[2393] 2:04:08	that's sort of what's going on there. So
[2394] 2:04:10	it's not that it's not saying that Ra is
[2395] 2:04:13	dead. So it's not saying Ra is the
[2396] 2:04:15	blessed dead. It's not saying that. It's
[2397] 2:04:17	saying he speaks truly. So that's that's
[2398] 2:04:21	what it means here. And that's what it
[2399] 2:04:23	even means in say when it's used say for
[2400] 2:04:26	um behind people's um names to indicate
[2401] 2:04:30	they're dead is they're dead so they're
[2402] 2:04:33	speaking truly.
[2403] 2:04:35	So that's what's going on here. Hope
[2404] 2:04:38	that helps. Thank you for the question.
[2405] 2:04:40	It's a great question.
[2406] 2:04:50	All right, next one here
[2407] 2:04:54	is from space peanut for $5 Canadian.
[2408] 2:04:57	Thank you for the super chat.
[2409] 2:04:59	Hermeneutics is hard. Yes, it is.
[2410] 2:05:03	Especially early chapters of Genesis.
[2411] 2:05:05	How is it possible to determine what
[2412] 2:05:07	info is factual history versus ancient
[2413] 2:05:10	hyperbole or metaphor?
[2414] 2:05:14	really really hard and those even those
[2415] 2:05:16	are not the only options. Okay,
[2416] 2:05:19	you got factual history and hyperbole
[2417] 2:05:22	like you mentioned and metaphor. You
[2418] 2:05:24	also got mytho history which is the idea
[2419] 2:05:27	is that it's some history and that has
[2420] 2:05:29	been mythologized
[2421] 2:05:31	to
[2422] 2:05:32	um to um to analogize it for say within
[2423] 2:05:37	the drama of say ritual and the god. So
[2424] 2:05:41	it's not your only options.
[2425] 2:05:44	Hermeneutics is hard. And when you talk
[2426] 2:05:46	about the early chapters of Genesis,
[2427] 2:05:49	it's really really difficult unless you
[2428] 2:05:51	understand that
[2429] 2:05:53	it's discussing the framework for sacred
[2430] 2:05:58	and profane space and early Israelite
[2431] 2:06:00	ritual.
[2432] 2:06:02	the the first say 11 chapters of Genesis
[2433] 2:06:06	is all about
[2434] 2:06:09	setting the foundation that will be used
[2435] 2:06:11	in the tabernacle ritual. Okay. So,
[2436] 2:06:18	so the
[2437] 2:06:21	so you have to keep in mind when we talk
[2438] 2:06:23	about say Genesis, there's going to be
[2439] 2:06:27	you're going to always have to look for
[2440] 2:06:29	that ritual understanding in Genesis,
[2441] 2:06:33	the those early 11 chapters of Genesis
[2442] 2:06:37	just to understand what the meaning is.
[2443] 2:06:40	Like for example, people get caught up
[2444] 2:06:41	in things such as, "Was the flood global
[2445] 2:06:45	or local?" That's the wrong question.
[2446] 2:06:48	That's really not what the flood
[2447] 2:06:51	narrative is about. The flood narrative
[2448] 2:06:54	is about
[2449] 2:06:56	um
[2450] 2:06:58	sacrificing converters and the
[2451] 2:07:00	conversion of
[2452] 2:07:02	profane things to sacred things. Okay?
[2453] 2:07:05	So
[2454] 2:07:07	making uh say things such as sacrifices
[2455] 2:07:11	holy and worthy for giving to God. So,
[2456] 2:07:17	uh, things such as say the Garden of
[2457] 2:07:20	Eden isn't so much,
[2458] 2:07:22	uh, about,
[2459] 2:07:25	um, say, you know, leaving paradise
[2460] 2:07:30	or the first humans as much as it is
[2461] 2:07:32	about how sacred and profane space
[2462] 2:07:36	originally got divided and why that's
[2463] 2:07:40	important.
[2464] 2:07:42	So,
[2465] 2:07:43	so there's there's a lot that um
[2466] 2:07:48	that's going on in the early chapters of
[2467] 2:07:50	Genesis that you kind of just you need
[2468] 2:07:53	that background information for in order
[2469] 2:07:55	to do the hermeneutical work. Um it's
[2470] 2:07:58	very difficult because um the early
[2471] 2:08:00	chapters of Genesis are so so dependent
[2472] 2:08:05	upon say the ancient neareastern culture
[2473] 2:08:08	the ritual culture that sort of
[2474] 2:08:10	predicates the tabernacle and all of
[2475] 2:08:12	that tabernacle stuff is going to become
[2476] 2:08:16	predicated upon those early chapters of
[2477] 2:08:18	Genesis.
[2478] 2:08:20	So,
[2479] 2:08:21	so you know that's the foundation for
[2480] 2:08:24	that that say that that later ritual
[2481] 2:08:27	work things such as libation offerings
[2482] 2:08:30	uh burnt sacrifices you know the fact is
[2483] 2:08:33	that the first burnt sacrifices were
[2484] 2:08:34	done by Noah okay he does the first ola
[2485] 2:08:39	the burnt offerings you know the whole
[2486] 2:08:42	the whole idea of um you know good um
[2487] 2:08:47	ritual practice ends up in good results.
[2488] 2:08:50	You know, there's there's lots of that
[2489] 2:08:52	stuff going on. The whole idea of image
[2490] 2:08:54	of God being say um idols of of Yahweh,
[2491] 2:09:00	uh the precincts of the temple, three
[2492] 2:09:02	precincts of the temple, three spaces
[2493] 2:09:04	that God prepares and then fills with
[2494] 2:09:05	life. So, there's there's a lot of this
[2495] 2:09:08	going on in the earliest chapters of
[2496] 2:09:10	Genesis. So you really do need a good
[2497] 2:09:14	solid foundation
[2498] 2:09:17	in say the history and ritual practice
[2499] 2:09:21	of the ancient near east in order to
[2500] 2:09:23	understand what's happening in those
[2501] 2:09:25	early Genesis chapters. Again for for
[2502] 2:09:29	the original audience who for whom that
[2503] 2:09:32	was written for this would have been
[2504] 2:09:33	obvious.
[2505] 2:09:35	This would have been absolutely obvious
[2506] 2:09:37	to those
[2507] 2:09:40	those those Israelites because that was
[2508] 2:09:42	their world. Ritual practice was their
[2509] 2:09:45	world.
[2510] 2:09:48	It's not our world.
[2511] 2:09:51	So
[2512] 2:09:52	there's some there's some we do need to
[2513] 2:09:55	keep in mind that we cannot impose our
[2514] 2:09:57	world upon their world. Their world
[2515] 2:10:01	operates by rules of ritual, magic,
[2516] 2:10:06	deities,
[2517] 2:10:08	little spirits running around all over
[2518] 2:10:09	the place causing trouble. You know,
[2519] 2:10:11	that's that's their world. You know,
[2520] 2:10:14	ours is a world of of materialism,
[2521] 2:10:16	accounting, science,
[2522] 2:10:19	um engineering,
[2523] 2:10:22	machines,
[2524] 2:10:24	things that things that they can't even
[2525] 2:10:26	imagine. and likewise stuff that we can
[2526] 2:10:29	hardly imagine from their world too. So
[2527] 2:10:32	you have to sort of get into their mind
[2528] 2:10:35	in order to understand what's being said
[2529] 2:10:38	in those early chapters. So I hope that
[2530] 2:10:40	helps. Thank you very much for the super
[2531] 2:10:43	chat. Very much appreciated.
[2532] 2:10:46	Messianic Telmid uh again for $5. Thank
[2533] 2:10:49	you for the super chat. Was the Egyptian
[2534] 2:10:52	cap uh capital at Canir or thieves
[2535] 2:10:54	during the reign of Ramsey's II and the
[2536] 2:10:56	Exodus? It was at Canir. Okay. Uh the
[2537] 2:11:00	last king of dynasty 19 to rule at
[2538] 2:11:05	thieves was Si the first. Uh the
[2539] 2:11:08	Egyptian capital is moved to Canir early
[2540] 2:11:11	in the reign of Ramsey's II. I mean
[2541] 2:11:14	really early like the first year or two.
[2542] 2:11:18	So once said,
[2543] 2:11:22	he's already moving to Kantier and
[2544] 2:11:24	building up his his um his capital
[2545] 2:11:27	there. And it makes a lot of sense uh
[2546] 2:11:30	because what uh Ramsey's II's move here
[2547] 2:11:34	is to reestablish
[2548] 2:11:37	his power base. Okay.
[2549] 2:11:41	Uh there was a lot of friction between
[2550] 2:11:44	Si and the Thean priesthood. a lot of
[2551] 2:11:48	friction.
[2552] 2:11:50	So, hey Slammer, how's it going? Good to
[2553] 2:11:53	see you here. Um, so there's a lot of
[2554] 2:11:55	friction between the Thean priesthood
[2555] 2:11:58	and the early Ramisides. So, um,
[2556] 2:12:03	particularly SI the first and I the
[2557] 2:12:06	second had had enough of it. So at that
[2558] 2:12:10	point he moved the whole court and
[2559] 2:12:13	capital from thieves to Kantier and it
[2560] 2:12:17	was basically a way of him thumbming his
[2561] 2:12:19	nose at the Thean priesthood. So
[2562] 2:12:23	so by the time the exis rolls around in
[2563] 2:12:26	the 25th regal year of SI of of Ramsey's
[2564] 2:12:28	I uh Kier is firmly
[2565] 2:12:33	established as capital of Egypt.
[2566] 2:12:36	So, hope that helps. Thank you for the
[2567] 2:12:39	super chat. Very much appreciated.
[2568] 2:12:46	All right. Next one here
[2569] 2:12:49	is again from uh Messianic Talmet for
[2570] 2:12:52	$10. Thank you for the super chat. If
[2571] 2:12:55	Ramsey's II is believed to have fathered
[2572] 2:12:57	over 100 children, it was believed to be
[2573] 2:13:00	52 children. Okay. Why would the loss of
[2574] 2:13:04	a single child even if firstborn be
[2575] 2:13:06	significant enough to release the
[2576] 2:13:08	Israelites? It's because of who that
[2577] 2:13:11	child was. Okay, that firstborn was Aman
[2578] 2:13:16	Kopchev.
[2579] 2:13:18	He was in his mid20s.
[2580] 2:13:21	He was chief diplomat of Egypt.
[2581] 2:13:24	He was a man of power and
[2582] 2:13:26	responsibility.
[2583] 2:13:28	Okay. Uh this was not a child that died,
[2584] 2:13:34	okay? This was a powerful
[2585] 2:13:38	um a powerful prince in his own right.
[2586] 2:13:43	Extremely powerful prince. He was
[2587] 2:13:46	Ramsey's II's right-hand man.
[2588] 2:13:53	Ron's had his visitors like Pacer, but
[2589] 2:13:58	I'm gonna hear Koschef was
[2590] 2:14:01	basically could have been his prime
[2591] 2:14:03	minister in all effective terms. Okay.
[2592] 2:14:08	Uh Ramsey the second depended on Ahmed
[2593] 2:14:11	Kchev to go out and deliver his orders
[2594] 2:14:15	uh keep his visitors in line. Um he was
[2595] 2:14:20	he was essentially Ramsey's II's
[2596] 2:14:22	enforcer.
[2597] 2:14:25	He was his enforcer, his chief diplomat.
[2598] 2:14:28	Uh Ramsey II leaned heavily on Amanir
[2599] 2:14:32	Copchef for the administration of Egypt.
[2600] 2:14:36	Okay.
[2601] 2:14:38	So when Amanir Copchef dies,
[2602] 2:14:44	it's a key man position.
[2603] 2:14:47	It's a keyman position.
[2604] 2:14:50	So
[2605] 2:14:52	as the keyman position, you know, that's
[2606] 2:14:56	an important position to lose.
[2607] 2:15:00	Okay.
[2608] 2:15:02	It's almost like a head of state dying
[2609] 2:15:05	or say a like like if um in in say a
[2610] 2:15:09	British system, you know, you got the
[2611] 2:15:11	king and you got the the prime minister.
[2612] 2:15:13	It's like a prime minister dying. Okay.
[2613] 2:15:15	The king still had in charge, but the
[2614] 2:15:18	death of the prime minister is now
[2615] 2:15:19	causing chaos.
[2616] 2:15:22	So,
[2617] 2:15:29	uh, Gandalf the base says it would be
[2618] 2:15:30	like the allies losing a major general
[2619] 2:15:33	end in during a D-Day. Certain
[2620] 2:15:35	individuals do carry a lot of thought
[2621] 2:15:39	power. Yeah. Yeah. Emma here. Copchef
[2622] 2:15:42	was a very, very powerful man.
[2623] 2:15:45	He was 25, but
[2624] 2:15:49	he had had incredible amounts of
[2625] 2:15:51	responsibility for somebody his age.
[2626] 2:15:54	As I said, chief diplomat of Egypt. He
[2627] 2:15:57	negotiated the treaty between Egypt and
[2628] 2:16:00	the Hittites.
[2629] 2:16:04	He was responsible. He was
[2630] 2:16:07	okay, you could put it this way. Uh
[2631] 2:16:11	if if Ramsey's II is Palpatine,
[2632] 2:16:16	I'm going to hear Kchef as Darth Vader.
[2633] 2:16:19	He's the enforcer.
[2634] 2:16:23	So,
[2635] 2:16:24	so yeah, he's the enforcer for Egypt.
[2636] 2:16:30	Now he now he was not just and I and I
[2637] 2:16:33	don't want to paint this too much as in
[2638] 2:16:35	he's he wasn't disliked. Okay quite the
[2639] 2:16:40	opposite.
[2640] 2:16:41	Okay.
[2641] 2:16:43	Um or more like Tarkin. Yeah he could be
[2642] 2:16:45	like Tarkin.
[2643] 2:16:48	But here's the thing about Amher
[2644] 2:16:49	Koschef. He was wellliked
[2645] 2:16:52	charismatic.
[2646] 2:16:54	He wasn't like his father. Okay. Which
[2647] 2:16:57	is why him and his father worked so well
[2648] 2:16:59	together.
[2649] 2:17:01	Um
[2650] 2:17:04	uh
[2651] 2:17:06	Ramsey II was very rash
[2652] 2:17:10	uh very um hasty
[2653] 2:17:13	um could anger quickly.
[2654] 2:17:16	Um I would hear Kchef was apparently
[2655] 2:17:20	very gregarious,
[2656] 2:17:22	very charismatic,
[2657] 2:17:24	very diplomatic.
[2658] 2:17:27	um he could get people to do things
[2659] 2:17:31	by his charisma.
[2660] 2:17:34	A man of those skills
[2661] 2:17:37	could wield incredible power in the
[2662] 2:17:40	Egyptian bureaucracy, not by force,
[2663] 2:17:44	just by influence.
[2664] 2:17:51	Yeah.
[2665] 2:17:53	>> Yeah. Like the current king of England
[2666] 2:17:54	versus his son. Yeah. Williams much more
[2667] 2:17:56	charismatic than Charles III.
[2668] 2:18:00	Yeah.
[2669] 2:18:02	But here's the thing, you know, if
[2670] 2:18:03	you've got if you I mean unlike Ramse's
[2671] 2:18:06	I who was born a commoner,
[2672] 2:18:09	Amikf was born in royalty.
[2673] 2:18:14	So
[2674] 2:18:16	um he was the best of the best.
[2675] 2:18:20	So,
[2676] 2:18:23	so um
[2677] 2:18:26	Slamarin says, "Was Ram Ahik the one who
[2678] 2:18:29	died during Moses's time?" Yeah, I think
[2679] 2:18:32	so. He dies in the 25th regal year or
[2680] 2:18:35	somewhere around then. And that's that's
[2681] 2:18:38	that's when we would that's where we
[2682] 2:18:39	expect the Exodus to be is in that time
[2683] 2:18:42	frame of the 25th regal year, mid
[2684] 2:18:45	dynasty 19. So,
[2685] 2:18:50	um, the next royal prince doesn't really
[2686] 2:18:53	the next crown prince doesn't die until
[2687] 2:18:54	something like the 52nd regal year.
[2688] 2:19:00	So, Amanir Copchef is the man.
[2689] 2:19:04	So, but yeah, he was he was apparently
[2690] 2:19:07	um he probably to be honest, Amir
[2691] 2:19:10	Kopchef probably would have made a great
[2692] 2:19:11	king
[2693] 2:19:13	of all from all the signs, he probably
[2694] 2:19:15	would have made a great king. I said he
[2695] 2:19:17	was charismatic. He was diplomatic. He
[2696] 2:19:21	could get people to do things just by
[2697] 2:19:23	charisma and influence.
[2698] 2:19:28	People were were more than happy to do
[2699] 2:19:30	things for him.
[2700] 2:19:32	Um
[2701] 2:19:34	yeah, not like his father.
[2702] 2:19:37	Um more steady. More steady too. Uh
[2703] 2:19:43	he was a lot wiser.
[2704] 2:19:47	He did go on some military campaigns
[2705] 2:19:50	but um
[2706] 2:19:54	really at the end of his um towards the
[2707] 2:19:57	end of his life there was no need for
[2708] 2:19:58	him to go on military campaigns. The
[2709] 2:20:01	last military campaign in Egypt uh from
[2710] 2:20:04	um from Egypt was in the 18th regal year
[2711] 2:20:07	and uh I'm here Koschef was still alive
[2712] 2:20:10	in the 18th to at least the 23rd regal
[2713] 2:20:14	year. or I should say maybe the the 20th
[2714] 2:20:17	regal year. So he he outlived the last
[2715] 2:20:20	uh military campaign easily
[2716] 2:20:23	uh because the the the treaty with the
[2717] 2:20:25	Hittites is negotiated I believe around
[2718] 2:20:27	year 21.
[2719] 2:20:30	So
[2720] 2:20:33	so he did go on military campaigns as I
[2721] 2:20:35	said very charismatic leader soldiers
[2722] 2:20:38	willfully follow willingly followed him.
[2723] 2:20:42	uh his colleagues liked him, you know,
[2724] 2:20:46	very very much, as I said, the
[2725] 2:20:48	charismatic young prince.
[2726] 2:20:58	Uh Ryzen Draco says, "I saw an article
[2727] 2:21:01	that Aramzi had arthritis and few other
[2728] 2:21:04	things. Would this explain why he wasn't
[2729] 2:21:06	at the Reed Sea incident?" It could be.
[2730] 2:21:09	Um there there there's like several
[2731] 2:21:12	reasons that might explain why he wasn't
[2732] 2:21:15	there. Okay. Arthritis could be one.
[2733] 2:21:19	Um he was already in his 50s at the time
[2734] 2:21:23	of the Reed Sea incident.
[2735] 2:21:25	So you know while there were some uh
[2736] 2:21:30	some people some generals that rode
[2737] 2:21:34	chariots into their old age, uh Ramsey
[2738] 2:21:37	doesn't appear to be one of them.
[2739] 2:21:39	Um
[2740] 2:21:41	yeah, it would have been uh a chariot
[2741] 2:21:44	ride would be pretty rough for a guy
[2742] 2:21:45	with arthritis.
[2743] 2:21:47	So Ramse's probably um Ramsey's was not
[2744] 2:21:52	really an active campaigner
[2745] 2:21:55	um in late into his life um not like
[2746] 2:21:58	Moses the third or even MPa.
[2747] 2:22:02	So he um
[2748] 2:22:06	uh so that's one possibility. There's
[2749] 2:22:09	other possibilities too. For example, he
[2750] 2:22:11	might have just decided at one point not
[2751] 2:22:13	to go.
[2752] 2:22:16	I mean, they did would have done a stop
[2753] 2:22:18	at Charu and not being sure where the
[2754] 2:22:22	Israelites were exactly.
[2755] 2:22:24	he might have just sent out his army
[2756] 2:22:26	ahead of him
[2757] 2:22:28	um because they didn't have reliable
[2758] 2:22:31	um intelligence.
[2759] 2:22:34	So there there's other possible reasons
[2760] 2:22:36	his chariot could have broke. There's
[2761] 2:22:38	there's any possibility any possible
[2762] 2:22:42	number of reasons could explain why he
[2763] 2:22:43	wasn't there. But the fact is he wasn't
[2764] 2:22:45	there. So um thank you very much for the
[2765] 2:22:49	question.
[2766] 2:22:53	Okay, next one here is from Billy uh
[2767] 2:22:56	Nyingen for $5. Thank you very much for
[2768] 2:22:59	the uh super chat. Good evening, Dr.
[2769] 2:23:02	Fel. Good evening, Billy. How do
[2770] 2:23:04	Christians best apply Joshua's concept
[2771] 2:23:07	in conquest in life?
[2772] 2:23:11	Oh, that's a tough one. Um
[2773] 2:23:13	well, I mean, he did act on faith and he
[2774] 2:23:16	did trust in the Lord. So um
[2775] 2:23:21	uh okay let's I'm going to take this
[2776] 2:23:23	from the haststack. Um his skull has a
[2777] 2:23:26	haststack says his skull him referring
[2778] 2:23:28	to here I don't hear co-chip has a large
[2779] 2:23:30	fracture but I'm not sure if that if
[2780] 2:23:32	that was healed or not. That is not
[2781] 2:23:36	we're not sure if that's his skull.
[2782] 2:23:39	Okay. Uh,
[2783] 2:23:43	I think I think Kent Weekes's uh dig did
[2784] 2:23:46	a really disservice.
[2785] 2:23:49	Okay. When they reported that skull,
[2786] 2:23:54	the the team that K that excavated KV5
[2787] 2:23:58	found a bunch of bones in a pit
[2788] 2:24:02	at the entrance of KV5.
[2789] 2:24:05	Okay, so these bones are not found in
[2790] 2:24:07	C2.
[2791] 2:24:08	Not even close to being found in C2.
[2792] 2:24:12	They're found in a pit near the
[2793] 2:24:14	entrance.
[2794] 2:24:18	The skull is of a man in his 20s. Okay,
[2795] 2:24:22	that much we know.
[2796] 2:24:24	The report from the news press report
[2797] 2:24:26	and it's not even a formal
[2798] 2:24:27	archaeological part report but the news
[2799] 2:24:31	article
[2800] 2:24:33	has them saying well it may be could be
[2801] 2:24:36	possibly maybe possibly could be the
[2802] 2:24:39	skull of your co-chef
[2803] 2:24:44	yeah could be yeah this is I mean could
[2804] 2:24:47	you Mr. E see this anymore?
[2805] 2:24:51	Um,
[2806] 2:24:53	and all they found was a skull. Okay.
[2807] 2:24:55	The rest of the bones belong to other
[2808] 2:24:57	people. Four individuals. It's four
[2809] 2:24:59	individuals in that pit, but only this
[2810] 2:25:02	one skull. Okay. The skull's completely
[2811] 2:25:05	separate from the other four for four
[2812] 2:25:07	for four for four for four for four for
[2813] 2:25:07	four for four for four for four for four
[2814] 2:25:07	for four for four for four individuals.
[2815] 2:25:08	Okay. Um
[2816] 2:25:14	the
[2817] 2:25:17	so we don't know if that belonged to
[2818] 2:25:19	Aman here cook it could have belonged to
[2819] 2:25:22	one of his brothers
[2820] 2:25:24	easily. Okay. Uh you know cuz after he
[2821] 2:25:29	died another brother took and then you
[2822] 2:25:31	could have other brothers die after
[2823] 2:25:33	that. Okay. And then
[2824] 2:25:37	it could have it might not even be
[2825] 2:25:39	belonged to one of Ramse's II's children
[2826] 2:25:42	because frankly other people were
[2827] 2:25:44	burying bones their their deceased
[2828] 2:25:46	relatives in these tombs too.
[2829] 2:25:49	So,
[2830] 2:25:52	oh boy.
[2831] 2:25:56	Um,
[2832] 2:25:58	so
[2833] 2:26:01	the whole identification of the skull of
[2834] 2:26:04	I'm going here is so shaky. I mean, it's
[2835] 2:26:08	so thin.
[2836] 2:26:10	I mean the only the only the only thing
[2837] 2:26:13	that ties him this skull to Emir Copev
[2838] 2:26:16	is it's a 25ish year old man
[2839] 2:26:20	20 man in his 20s and it's in it was
[2840] 2:26:23	found in in the pit in KV5 not in any of
[2841] 2:26:26	the tombs in KV5
[2842] 2:26:32	just the pit
[2843] 2:26:36	>> not even
[2844] 2:26:36	>> so not even okay
[2845] 2:26:40	Now, it is important to point out too
[2846] 2:26:42	that I'm going to hear Copchef had his
[2847] 2:26:44	own tomb as well.
[2848] 2:26:49	It's a it is a priest. It's it's an
[2849] 2:26:53	assumption
[2850] 2:26:54	that his body was moved from his own
[2851] 2:26:58	tomb
[2852] 2:27:00	into KV5.
[2853] 2:27:02	Okay, that's an assumption. It's not an
[2854] 2:27:06	it's not a fact. We don't know.
[2855] 2:27:09	if his body was actually moved into KV5.
[2856] 2:27:12	Possibly it could be, but again, it
[2857] 2:27:16	could be.
[2858] 2:27:19	But but um before KV5 was built,
